Customer ID,Date,Type,Utilization %,Credit Limit
CUST-004D580C,2025-01-28,Account Opened,36.4,6000
CUST-004D580C,2025-03-03,Purchase,38.4,6000
CUST-004D580C,2025-03-17,Payment,28.3,6000
CUST-004D580C,2025-03-31,Purchase,25.9,6000
CUST-004D580C,2025-04-10,Payment,17.1,6000
CUST-004D580C,2025-05-04,Purchase,28.3,6000
CUST-004D580C,2025-05-18,Payment,10.0,6000
CUST-004D580C,2025-05-30,Purchase,10.0,6000
CUST-004D580C,2025-06-18,Payment,10.0,6000
CUST-004D580C,2025-06-29,Purchase,14.4,6000
CUST-004D580C,2025-07-17,Payment,10.0,6000
CUST-004D580C,2025-08-03,Purchase,10.0,6000
CUST-004D580C,2025-08-12,Payment,10.0,6000
CUST-004D580C,2025-08-31,Purchase,10.0,6000
CUST-004D580C,2025-09-17,Payment,10.0,6000
CUST-004D580C,2025-09-27,Purchase,13.7,6000
CUST-004D580C,2025-10-11,Payment,10.0,6000
CUST-004D580C,2025-11-01,Purchase,13.8,6000
CUST-004D580C,2025-11-11,Payment,10.0,6000
CUST-004D580C,2025-11-28,Purchase,10.0,6000
CUST-004D580C,2025-12-11,Payment,10.0,6000
CUST-004D580C,2025-12-31,Purchase,10.0,6000
CUST-004D580C,2026-01-14,Payment,10.0,6000
CUST-004D580C,2026-01-27,Purchase,10.0,6000
CUST-004D580C,2026-02-13,Payment,10.0,6000
CUST-004D580C,2026-02-23,Purchase,10.0,6000
CUST-004D580C,2026-03-10,Payment,10.0,6000
CUST-004D580C,2026-03-31,Purchase,10.0,6000
CUST-004D580C,2026-04-13,Payment,10.0,6000
CUST-004D580C,2026-04-27,Purchase,24.2,6000
CUST-004D580C,2026-05-12,Payment,10.0,6000
CUST-004D580C,2026-05-25,Purchase,16.0,6000
CUST-004D580C,2026-06-06,Payment,10.0,6000
CUST-004D580C,2026-06-27,Purchase,10.0,6000
CUST-004D580C,2026-07-11,Payment,10.0,6000
CUST-00A5A17E,2025-01-02,Account Opened,34.2,1300
CUST-00A5A17E,2025-02-03,Purchase,43.4,1300
CUST-00A5A17E,2025-02-17,Payment,23.4,1300
CUST-00A5A17E,2025-03-05,Purchase,25.6,1300
CUST-00A5A17E,2025-03-15,Payment,10.0,1300
CUST-00A5A17E,2025-04-07,Purchase,14.7,1300
CUST-00A5A17E,2025-04-19,Payment,10.0,1300
CUST-00A5A17E,2025-05-05,Purchase,10.0,1300
CUST-00A5A17E,2025-05-19,Payment,10.0,1300
CUST-00A5A17E,2025-06-02,Purchase,10.0,1300
CUST-00A5A17E,2025-06-22,Payment,10.0,1300
CUST-00A5A17E,2025-07-06,Purchase,11.4,1300
CUST-00A5A17E,2025-07-20,Payment,10.0,1300
CUST-00A5A17E,2025-08-05,Purchase,10.9,1300
CUST-00A5A17E,2025-08-23,Payment,10.0,1300
CUST-00A5A17E,2025-09-05,Purchase,19.6,1300
CUST-00A5A17E,2025-09-15,Payment,10.0,1300
CUST-00A5A17E,2025-10-01,Purchase,10.0,1300
CUST-00A5A17E,2025-10-18,Payment,10.0,1300
CUST-00A5A17E,2025-11-03,Purchase,10.0,1300
CUST-00A5A17E,2025-11-15,Payment,10.0,1300
CUST-00A5A17E,2025-12-01,Purchase,12.1,1300
CUST-00A5A17E,2025-12-10,Payment,10.0,1300
CUST-00A5A17E,2025-12-29,Purchase,10.0,1300
CUST-00A5A17E,2026-01-11,Payment,10.0,1300
CUST-00A5A17E,2026-02-01,Purchase,24.0,1300
CUST-00A5A17E,2026-02-18,Payment,12.0,1300
CUST-00A5A17E,2026-02-26,Limit Increase,12.0,3500
CUST-00A5A17E,2026-03-02,Purchase,10.9,3500
CUST-00A5A17E,2026-03-14,Payment,10.0,3500
CUST-00A5A17E,2026-04-02,Purchase,26.5,3500
CUST-00A5A17E,2026-04-16,Payment,15.5,3500
CUST-00A5A17E,2026-04-27,Limit Increase,15.5,4900
