customer_id,total_event_count,purchase_count,payment_count,limit_increase_count,distinct_event_dates,event_span_days,events_per_30_days,max_events_single_day,max_events_7d,min_days_between_events,mean_days_between_events,mean_utilization_pct,max_utilization_pct,utilization_range,max_credit_limit
00014d53-c700-6e70-9f3a-318bd5ccdda4,25,11,11,2,25,353,2.1246458923512748,1,2,1,14.708333333333334,0.19872,0.473,0.373,7300
00022b77-6bfd-3e52-2123-e963019e6f9e,33,15,15,2,33,472,2.097457627118644,1,2,1,14.75,0.12648484848484848,0.24,0.13999999999999999,9600
00046a08-7ef6-fc05-ada6-3554d0133e33,7,4,1,1,5,47,4.468085106382978,2,5,0,7.833333333333333,0.5137142857142857,0.931,0.7060000000000001,6800
00079092-5459-e1db-3768-8f20ad113a6a,32,15,15,1,32,473,2.029598308668076,1,2,2,15.258064516129032,0.11721875000000001,0.22,0.12,9600
001a2d10-fe0e-8235-f3da-e4099a22dcda,20,9,9,1,20,283,2.1201413427561837,1,2,4,14.894736842105264,0.15255000000000002,0.423,0.32299999999999995,5500
001c44d3-eb70-ce40-d21a-596035849301,5,2,2,0,5,81,1.8518518518518516,1,1,12,20.25,0.261,0.42,0.31999999999999995,4600
00282d73-a1ab-dcd7-eff2-929c4774a1c6,25,12,12,0,25,374,2.0053475935828877,1,2,5,15.583333333333334,0.13252,0.372,0.272,4900
0029c96e-fef0-708c-c668-2d244127b720,5,2,2,0,5,83,1.8072289156626506,1,1,10,20.75,0.11379999999999998,0.169,0.069,4200
002ba850-52ac-2902-3f84-f698cedd2a64,23,10,10,2,23,320,2.15625,1,2,2,14.545454545454545,0.1369130434782609,0.327,0.227,6600
003a45cc-a3f5-bc85-10fd-aa61f14b3f9d,37,16,16,4,37,498,2.228915662650602,1,2,1,13.833333333333334,0.11443243243243241,0.239,0.13899999999999998,9900
003a6567-405b-1dfc-0786-956fa904f11c,3,1,1,0,3,50,1.7999999999999998,1,1,19,25.0,0.4063333333333334,0.462,0.136,500
003ba095-0360-fced-5961-a1a779e78ef2,3,1,1,0,3,45,2.0,1,1,10,22.5,0.13366666666666668,0.193,0.093,2000
004879c0-560e-1e93-e00d-9a8569ba3250,4,1,1,1,4,48,2.5,1,2,1,16.0,0.4285,0.5,0.21800000000000003,7100
004abea0-744c-8881-09f1-73668b4bf470,26,11,11,3,26,343,2.274052478134111,1,2,3,13.72,0.15242307692307694,0.5,0.4,9500
