customer_id,phone_shared_count,email_shared_count,address_shared_count,device_shared_count,network_degree,shared_attribute_count
00046a08-7ef6-fc05-ada6-3554d0133e33,0,0,2,0,2,2
001a2d10-fe0e-8235-f3da-e4099a22dcda,0,0,1,0,1,1
003a6567-405b-1dfc-0786-956fa904f11c,0,0,1,0,1,1
00571232-2fc5-33e4-b6f9-fb1585aed388,3,0,3,0,3,6
005ed50c-d8fb-e113-e987-8db0f4194055,0,0,1,0,1,1
00752313-c207-e330-0c58-0848e625b4e4,2,0,2,0,2,4
007b48d5-56c1-473f-90d9-66ac34d5f7f9,0,2,0,0,2,2
00966f22-2f5d-3968-1873-a6964389c8b2,3,0,3,0,3,6
00990354-8b75-ee89-de15-bcb89aed747e,3,0,3,0,3,6
00b17ba7-27f1-780e-41d6-a59ae343ec90,1,0,0,0,1,1
00b329d8-efa7-3e2f-3261-f6f9e3dff6c6,0,4,0,6,6,10
00d10cb5-6682-a019-65e0-e9f5bbe10bc9,0,0,3,0,3,3
013ab0f2-0809-c466-2c64-f93ca9537ab8,0,0,4,0,4,4
01439581-6d5c-0908-9ea9-6c7ff3d393aa,0,0,3,0,3,3
0156340a-79d9-26af-1b52-6e05f363c2bc,0,0,2,0,2,2
01570856-8cec-a6cd-9e60-7c43ae8d467a,1,0,1,0,1,2
015d3f8c-ea75-8393-29a5-555f9de2a3f6,3,0,3,0,3,6
017dc6c1-6ce7-5c65-9420-ffebdfaed26c,0,0,3,0,3,3
018f2677-85af-df4e-c5e3-05e59e1a5dc3,3,0,3,0,3,6
01b3c46f-6a2d-8372-a395-3567bc0b4acc,0,0,3,3,3,6
01b61ed1-1e07-7d59-d987-f30c637d1c04,1,0,0,0,1,1
01d723f0-84af-87ae-9db8-c04198a73680,0,0,3,0,3,3
01e19cc8-f074-99a2-05f3-93a3ce407fc5,0,0,2,0,2,2
01f4d124-50f2-8b5d-ad97-f0478e2e7c40,0,0,3,0,3,3
020a5f16-26c2-95e0-517c-e683fce82fb7,0,0,2,0,2,2
022c8ea7-afd3-eb9a-3fbf-70ac1dfc6f38,0,0,1,0,1,1
023af9c1-7e85-8f56-7e38-a248a17b59dc,0,0,0,3,3,3
024716be-2580-ee81-360d-10731b5bbfb9,3,3,0,0,3,6
024a2f09-c31a-168b-f59a-e44698829089,2,0,1,0,2,3
024f81a9-a8fe-937f-c06a-0e75e421d402,0,0,2,0,2,2
024f985d-e95e-aebf-4e09-5f8a45d853b1,0,0,0,3,3,3
02712c62-1f38-ac52-f445-dc020ebe2b02,0,0,3,0,3,3
027e8a52-5289-1d7b-f9fb-7fdc46c9f3e1,1,0,0,0,1,1
02859015-cd6d-d63f-7b7c-4357d650ae88,3,0,3,0,3,6
0289a9bb-41b3-1bc9-6db9-4208b6001397,0,0,3,0,3,3
02904b4b-9adc-7f1b-28de-3c3c72d82a21,3,2,0,0,3,5
02dca67f-db66-f974-cd9b-fe2833c03af8,3,0,3,0,3,6
03110484-4945-fadb-5776-5cb955bc8249,3,0,3,3,3,9
0332d2c7-d475-2863-1e82-a044413605e6,0,0,4,0,4,4
033cb1d2-b377-7601-9024-6cf60d918397,2,0,2,0,2,4
034ee1d7-134b-1490-ce5a-0581e2daab60,0,0,3,3,3,6
035525dd-33c2-0d8b-14b7-9f3aa6330a1e,2,2,0,0,2,4
0363682d-dc4f-3658-4de4-5a16ca3c7584,2,0,2,0,2,4
036b9bf2-6176-19ce-ddf2-c527a1b6287f,0,3,0,0,3,3
0384a81c-e65f-7724-c47d-05d72748fd15,3,0,3,0,3,6
03cec3a8-bf2a-cc05-bfac-3173082609c4,3,0,3,0,3,6
03e2e68c-647d-5c84-34f2-3196e2e57cac,0,0,2,0,2,2
041e7683-2ed6-6752-9269-040d76ab6372,0,0,2,0,2,2
042db5f2-086b-2644-ee2b-417f5b8aa341,0,0,3,0,3,3
042dd5fc-37ff-6cf5-1c3f-29b6eefe9ab6,6,0,5,0,6,11
04301191-3fa7-9e1f-4a44-38d24a568b1c,1,1,1,0,2,3
0473d8b5-ccb2-747a-6d2a-74fca919c298,0,2,2,0,2,4
047af2a0-fba5-2e89-b3a3-a30e389741f7,0,0,3,3,3,6
04b06534-b21a-c8b7-7bb6-6e0afb467319,0,0,2,2,2,4
04b3507b-de0f-ba69-8713-e9ec520eceaa,2,0,2,0,2,4
04cc921d-f235-b5b3-6380-a8e6a656a27f,2,0,2,0,2,4
050d2ea0-c89a-ece5-18bf-4cd14c01924e,1,0,0,0,1,1
05188ee1-51b6-7b5f-dd95-5e9ba63dc8b1,1,0,0,1,1,2
0527d32a-cd32-c22b-5bb8-94b40fdaf490,0,0,3,0,3,3
0539e714-2a31-aef9-5940-4cb5d171a754,0,0,1,0,1,1
0539f9e7-c506-2084-f998-c84baa482a07,0,0,3,0,3,3
054f88e4-2758-4746-91cc-5d1fcc8fc37c,1,0,0,0,1,1
0553f506-6e30-5033-2f23-7fc09f7e8f1f,0,0,4,0,4,4
0571f372-e450-8764-234b-e19b7d3c2e85,0,2,0,2,3,4
05855b58-5688-630b-dec6-98dee92beee1,0,0,2,0,2,2
0594b0e3-103c-c5d7-7748-6fa8f789d7d0,1,0,0,0,1,1
05a4e555-c4a7-2735-6bb3-8342a5161d88,0,0,1,0,1,1
05cd83ed-388a-7162-f2d2-662c9a571ca8,1,0,0,0,1,1
05eaa360-5481-20a1-aaae-4ec977b24792,3,0,3,0,3,6
05f025f6-ef36-3575-2867-15718b32c556,0,0,1,0,1,1
05f1bf59-93de-fba3-0421-8bc4718ed54c,1,1,0,1,1,3
0634a7e5-b852-9281-3dfb-83e2d459019a,3,0,3,1,4,7
063831bd-8c7f-f0e6-d8e6-33fe30d7c6d4,0,1,0,0,1,1
063b179b-44e3-1888-1ce2-c842fa2f2e99,3,0,3,0,3,6
063ee0ba-2f0b-a732-ddfe-f8cbc33b91f0,0,0,2,0,2,2
064aa6df-344a-3a29-2485-ec1e8db894ac,3,0,3,0,3,6
0654e3ee-b643-23d2-f2a1-f2f26e413637,0,0,3,0,3,3
0681f64c-a884-3429-b9e9-c550ffaf2398,0,0,3,0,3,3
068821ab-877a-6403-e46f-90d5afb2ceee,3,0,3,0,3,6
069dc654-861e-4594-feb5-598f3259d421,3,0,4,0,4,7
06b20dcd-7bb2-f357-af97-04278807e17a,0,1,2,0,2,3
06b33821-cdd8-787e-7d2b-c8323ee3fbd5,0,0,3,0,3,3
070dc2c0-c88e-afd5-0bd7-0a88e58f338b,0,0,0,3,3,3
074396fa-212a-d305-b10b-d36b177d83ca,0,0,2,0,2,2
074cce1c-fc3d-72e9-8176-ae946a96fbd4,2,0,0,0,2,2
076938c1-4e35-2c9e-90f0-d5b4c7716684,0,0,2,0,2,2
078df233-e2cf-a728-0167-1d22736d6dc8,0,0,1,0,1,1
0798c5d3-f933-7b17-ba42-2b539e9ee0aa,0,0,3,0,3,3
